ï»¿IX,Virus_ID,genome_length,T_raw,T_nearest,T_nearest_errMar
1,HK97,39732,6.7287,7.0,7.0
2,T7,39937,6.7534,7.0,7.0
3,HK022,40751,6.8512,7.0,7.0
